timestamp,marker_id,x_base,y_base,z_base
852.940000,7,0.385103,0.068659,0.217546
852.940000,5,0.421168,0.016163,0.216862
852.940000,6,0.382303,0.120254,0.216129
852.940000,4,0.414698,0.071727,0.223396
852.940000,3,0.410648,0.122059,0.224366
852.940000,1,0.443938,0.073672,0.229848
852.940000,0,0.440014,0.124174,0.229466
852.974000,10,0.362928,0.053862,0.154899
852.974000,8,0.389342,0.011830,0.207246
852.974000,9,0.350869,0.115941,0.209071
852.974000,7,0.384425,0.067708,0.218420
852.974000,5,0.421200,0.013960,0.215514
852.974000,6,0.381495,0.117580,0.216404
852.974000,4,0.413669,0.068985,0.223809
852.974000,3,0.409547,0.119362,0.224613
852.974000,1,0.442396,0.071129,0.230500
852.974000,0,0.437907,0.121335,0.231574
853.009000,10,0.356309,0.066318,0.210159
853.009000,8,0.389059,0.013633,0.208903
853.009000,9,0.350697,0.117122,0.210834
853.009000,7,0.382631,0.068841,0.218165
853.009000,5,0.422509,0.014822,0.213962
853.009000,6,0.379745,0.119931,0.217211
853.009000,4,0.414370,0.071567,0.223987
853.009000,3,0.409512,0.121851,0.226900
853.009000,1,0.442595,0.073816,0.232024
853.009000,0,0.438708,0.123784,0.231611
853.074000,10,0.353745,0.065388,0.210677
853.074000,8,0.388927,0.012390,0.208296
853.074000,9,0.350679,0.116140,0.209027
853.074000,7,0.382106,0.067847,0.218970
853.074000,5,0.421342,0.014256,0.215580
853.074000,6,0.379231,0.117865,0.216698
853.074000,4,0.413563,0.069650,0.223982
853.074000,3,0.409008,0.119780,0.226334
853.074000,1,0.442339,0.072254,0.231483
853.074000,0,0.437931,0.122293,0.232121
853.140000,10,0.355970,0.064920,0.209355
853.140000,8,0.389177,0.011904,0.207859
853.140000,9,0.352883,0.115886,0.208579
853.140000,7,0.384369,0.067453,0.218383
853.140000,5,0.421285,0.014096,0.215514
853.140000,6,0.381590,0.117720,0.216430
853.140000,4,0.413755,0.069361,0.224258
853.140000,3,0.410380,0.119747,0.222801
853.140000,1,0.442483,0.071258,0.230524
853.140000,0,0.437998,0.121463,0.231615
853.177000,10,0.354025,0.066454,0.211181
853.177000,8,0.390029,0.012416,0.206297
853.177000,9,0.353260,0.116981,0.208266
853.177000,7,0.385229,0.068324,0.216631
853.177000,5,0.421436,0.015776,0.215924
853.177000,6,0.381817,0.118748,0.216671
853.177000,4,0.413412,0.070733,0.225625
853.177000,3,0.410612,0.120814,0.223046
853.177000,1,0.441749,0.072725,0.232803
853.177000,0,0.438231,0.122555,0.231865
853.241000,10,0.355898,0.064735,0.209340
853.241000,8,0.389104,0.011718,0.207863
853.241000,9,0.352810,0.115700,0.208541
853.241000,7,0.384299,0.067272,0.218360
853.241000,5,0.421214,0.013914,0.215510
853.241000,6,0.381519,0.117539,0.216384
853.241000,4,0.413685,0.069184,0.224229
853.241000,3,0.410310,0.119569,0.222748
853.241000,1,0.442415,0.071084,0.230488
853.241000,0,0.437930,0.121290,0.231556
853.278000,10,0.354168,0.067696,0.211473
853.278000,8,0.391720,0.014225,0.208167
853.278000,9,0.353397,0.118085,0.209084
853.278000,7,0.383456,0.069351,0.216367
853.278000,5,0.421967,0.016678,0.215840
853.278000,6,0.379734,0.119787,0.217161
853.278000,4,0.414355,0.071422,0.223957
853.278000,3,0.409688,0.121816,0.226144
853.278000,1,0.442581,0.073673,0.231990
853.278000,0,0.438280,0.123677,0.232480
853.341000,10,0.353533,0.066017,0.211648
853.341000,8,0.391315,0.012124,0.207552
853.341000,9,0.353080,0.116314,0.208093
853.341000,7,0.384966,0.067672,0.217091
853.341000,5,0.421528,0.014791,0.215628
853.341000,6,0.381395,0.118140,0.217147
853.341000,4,0.413649,0.069806,0.224735
853.341000,3,0.409663,0.120290,0.225173
853.341000,1,0.442618,0.072138,0.231108
853.341000,0,0.439773,0.122721,0.228721
853.410000,10,0.362867,0.053661,0.154885
853.410000,8,0.388988,0.012030,0.207919
853.410000,9,0.352885,0.115970,0.208604
853.410000,7,0.384376,0.067537,0.218396
853.410000,5,0.420898,0.014580,0.216182
853.410000,6,0.381295,0.117726,0.217001
853.410000,4,0.413715,0.069065,0.223817
853.410000,3,0.409594,0.119442,0.224630
853.410000,1,0.442442,0.071208,0.230513
